Key,File,Type,english
WaywardEko_SeekersBane_Stage3_Step3_PillarExpansion,blocks,block,               "Seeker's Bane - Stage 3 | Step 3 - Pillar Expansion"
WaywardEko_SeekersBane_Stage3_Step4_InteriorAndElectricalAdditions,blocks,block,"Seeker's Bane - Stage 3 | Step 4\n - Interior & Electrical Additions"
WaywardEko_SeekersBane_Stage3_Step5_RoofAdditions,blocks,block,                 "Seeker's Bane - Stage 3 | Step 5 - Roof Additions"

WaywardEko_Spark_Description,blocks,block,                                "A bundle of shapes needed to build the [00b400]Spark[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=GcciKSy9z_M"
WaywardEko_Spark_Shapes,blocks,block,                                     "Spark - All Shapes"
WaywardEko_Spark_Stage1_Step1_BaseSide,blocks,block,                      "Spark - Stage 1 | Step 1 - Base Side"
WaywardEko_Spark_Stage1_Step2_Pit,blocks,block,                           "Spark - Stage 1 | Step 2 - Pit"
WaywardEko_Spark_Stage1_Step3_LaddersAndApproach,blocks,block,            "Spark - Stage 1 | Step 3 - Ladders & Approach"
WaywardEko_Spark_Stage1_Step4_OptionalDogRamp,blocks,block,               "Spark - Stage 1 | Step 4 - Optional Dog Ramp"
WaywardEko_Spark_Stage2_Step2_PillarsReinforcement,blocks,block,          "Spark - Stage 2 | Step 2 - Pillars Reinforcement"
WaywardEko_Spark_Stage2_Step3_ElectricFences,blocks,block,                "Spark - Stage 2 | Step 3 - Electric Fences"
WaywardEko_Spark_Stage2_Step4_PitAndFightingPositionUpgrades,blocks,block,"Spark - Stage 2 | Step 4 - Pit & Fighting Position Upgrades"
WaywardEko_Spark_Stage3_Step2_PitUpgrade,blocks,block,                    "Spark - Stage 3 | Step 2 - Pit Upgrade"

WaywardEko_SpiralSentry_Description,blocks,block,          "A bundle of shapes needed to build the [00b400]Spiral Sentry[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=Evp-3gU4P24"
WaywardEko_SpiralSentry_Shapes,blocks,block,               "Spiral Sentry - All Shapes"
WaywardEko_SpiralSentry_01_Pillars,blocks,block,           "Spiral Sentry - 01 - Pillars"
WaywardEko_SpiralSentry_02_BottomPlatform,blocks,block,    "Spiral Sentry - 02 - Bottom Platform"
WaywardEko_SpiralSentry_03_BaseSide,blocks,block,          "Spiral Sentry - 03 - Base Side x 2"
WaywardEko_SpiralSentry_04_FightingPosition,blocks,block,  "Spiral Sentry - 04 - Fighting Position x 2"
WaywardEko_SpiralSentry_05_Hallway,blocks,block,           "Spiral Sentry - 05 - Center Hallway"
WaywardEko_SpiralSentry_06_Roof,blocks,block,              "Spiral Sentry - 06 - Roof"
WaywardEko_SpiralSentry_07_ExteriorWindowTrim,blocks,block,"Spiral Sentry - 07 - Exterior Window Trim"
WaywardEko_SpiralSentry_08_BasicStair,blocks,block,        "Spiral Sentry - 08 - Basic Stair"
WaywardEko_SpiralSentry_09_EnhancedStair,blocks,block,     "Spiral Sentry - 09 - Enhanced Stair"
WaywardEko_SpiralSentry_10_SafetyCatch,blocks,block,       "Spiral Sentry - 10 - Safety Catch x 2"
WaywardEko_SpiralSentry_11_BaseBridge,blocks,block,        "Spiral Sentry - 11 - Base Bridge"

WaywardEko_Switchback_Description,blocks,block,"A bundle of shapes needed to build the [00b400]Switchback[-] created by [00b400]WaywardEko[-].\n\nhttps://www.youtube.com/watch?v=Bv4Lk7UkkV4"
WaywardEko_Switchback_Shapes,blocks,block,     "Switchback - All Shapes"
WaywardEko_Switchback_1_Day07,blocks,block,    "Switchback - Day 07"
WaywardEko_Switchback_2_Day14,blocks,block,    "Switchback - Day 14"
WaywardEko_Switchback_3_Day21,blocks,block,    "Switchback - Day 21"
WaywardEko_Switchback_4_Day28,blocks,block,    "Switchback - Day 28+"
